leaf,item,field,answer,source_route,source_state,n_spans,min_span,quote_in_full,quote_in_window,window_reason,issues
liquidation_preference_multiple,1274991_000119312510075918,liquidation_preference_multiple,3x,by-name,verified-present,1,119,1,1,quote present,
liquidation_preference_multiple,1447362_000114036119009024,liquidation_preference_multiple,3x,by-name,verified-present,1,119,1,1,quote present,
participation_type,1469166_000095012314005342,participation_type,non-participating,by-name,verified-absent,1,274,0,0,the quote not found: 'an amount per share of Series C Preferred equal to the great',validating quote NOT found in the source document; validating quote not inside the window the model is shown
participation_type,828146_000110465921129281,participation_type,non-participating,by-name,verified-present,1,253,1,1,quote present,
participation_type,1478121_000119312514227132,participation_type,participating,by-name,verified-present,2,106,1,1,all 2 span(s) present,
participation_type,1585521_000119312519083351,participation_type,non-participating,by-name,verified-present,3,101,1,1,all 2 span(s) present; 1 sub-40-char connective span(s) not required,
participation_type,1314727_000095012317011479,participation_type,non-participating,by-name,verified-present,2,101,1,1,all 2 span(s) present,
participation_type,319458_000143774924026112,participation_type,non-participating,by-name,verified-present,1,215,1,1,quote present,
participation_type,1119700_000114420405033377,participation_type,non-participating,by-name,verified-present,4,87,1,1,all 2 span(s) present; 2 sub-40-char connective span(s) not required,
participation_type,1067837_000119312515255977,participation_type,non-participating,by-name,verified-present,7,43,1,1,all 3 span(s) present; 4 sub-40-char connective span(s) not required,
participation_type,1604950_000119312517316695,participation_type,participating,by-name,verified-absent,3,45,0,0,span 2 of 2 not found: 'shall be distributed among the holders of the shares of Pref',validating quote NOT found in the source document; validating quote not inside the window the model is shown
participation_type,1722271_000091205720000111,participation_type,participating,by-name,verified-present,4,53,1,1,all 2 span(s) present; 2 sub-40-char connective span(s) not required,
participation_type,1076103_000091476003000217,participation_type,participating,by-name,verified-present,5,78,1,1,all 2 span(s) present; 3 sub-40-char connective span(s) not required,
participation_type,1200720_000104746904001493,participation_type,capped,by-name,verified-present,1,241,1,1,quote present,
participation_type,1113481_000111348114000003,participation_type,capped,by-name,verified-present,2,292,1,1,all 1 span(s) present; 1 sub-40-char connective span(s) not required,
participation_type,1447599_000119312515209758,participation_type,capped,by-name,verified-present,3,108,1,1,all 3 span(s) present,
participation_type,1327811_000132781118000039,participation_type,capped,by-name,verified-present,3,224,1,1,all 1 span(s) present; 2 sub-40-char connective span(s) not required,
participation_type,1344413_000089161805000914,participation_type,capped,by-name,verified-present,3,170,1,1,all 1 span(s) present; 2 sub-40-char connective span(s) not required,
participation_type,1374128_000119312517292995,participation_type,participating,by-name,verified-present,2,194,1,1,all 1 span(s) present; 1 sub-40-char connective span(s) not required,
participation_type,1053148_000095014401503351,participation_type,participating,by-name,verified-absent,2,253,0,0,"the quote not found: 'the preferential amounts so payable to them, the remaining a'",validating quote NOT found in the source document; validating quote not inside the window the model is shown
participation_cap,1200720_000104746904001493,participation_cap,3.5,by-name,verified-present,1,166,1,1,quote present,
participation_cap,1447599_000119312515209758,participation_cap,3,by-name,verified-present,1,134,1,1,quote present,
participation_cap,1344413_000089161805000914,participation_cap,3,by-name,verified-present,1,172,1,1,quote present,
preference_seniority,1076103_000091476003000217,preference_seniority,stacked,by-name,verified-present,1,235,1,1,quote present,
preference_seniority,1341470_000119312509004895,preference_seniority,stacked,by-name,verified-present,1,269,1,1,quote present,
preference_seniority,1477449_000155837016008265,preference_seniority,stacked,by-name,verified-present,1,192,1,1,quote present,
preference_seniority,932699_000093269916000092,preference_seniority,stacked,by-name,verified-present,1,235,1,1,quote present,
preference_seniority,1092283_000119312505071414,preference_seniority,stacked,by-name,verified-present,1,231,1,1,quote present,
preference_seniority,1585521_000119312519083351,preference_seniority,pari-passu,by-name,verified-present,1,246,1,1,quote present,
preference_seniority,1113481_000111348114000003,preference_seniority,pari-passu,by-name,verified-present,1,216,1,1,quote present,
preference_seniority,1556898_000119312517274422,preference_seniority,pari-passu,by-name,verified-present,1,257,1,1,quote present,
preference_seniority,745788_000114420408016648,preference_seniority,pari-passu,by-name,verified-present,1,239,1,1,quote present,
preference_seniority,878720_000089843001500356,preference_seniority,pari-passu,by-name,verified-present,1,277,1,1,quote present,
preference_seniority,1123195_000112319502000020,preference_seniority,pari-passu,by-name,verified-present,1,237,1,1,quote present,
dividend_rate_pct,1119700_000114420405033377,dividend_rate_pct,6,by-name,verified-present,1,60,1,1,quote present,
dividend_rate_pct,1725255_000110465920135025,dividend_rate_pct,8.0,by-name,verified-present,1,90,1,1,quote present,
dividend_rate_pct,1620179_000104746918002690,dividend_rate_pct,10,by-name,verified-present,1,77,1,1,quote present,
dividend_rate_pct,1604950_000119312517316695,dividend_rate_pct,6,by-name,verified-present,1,79,1,1,quote present,
dividend_rate_pct,1445499_000095012321001942,dividend_rate_pct,8,unresolved,not-checkable,1,63,,1,quote present,
dividend_rate_pct,1585521_000119312519083351,dividend_rate_pct,6,unresolved,not-checkable,1,113,,1,quote present,
dividend_cumulative,1067837_000119312515255977,dividend_cumulative,cumulative,by-name,verified-present,1,265,1,1,quote present,
dividend_cumulative,1119700_000114420405033377,dividend_cumulative,cumulative,by-name,verified-present,1,259,1,1,quote present,
dividend_cumulative,1200720_000104746904001493,dividend_cumulative,cumulative,by-name,verified-present,1,297,1,1,quote present,
dividend_cumulative,1337675_000114420407009831,dividend_cumulative,cumulative,by-name,verified-present,1,258,1,1,quote present,
dividend_cumulative,1461993_000119312517361673,dividend_cumulative,cumulative,by-name,verified-present,1,270,1,1,quote present,
dividend_cumulative,1568194_000119312522082723,dividend_cumulative,cumulative,by-name,verified-present,1,264,1,1,quote present,
dividend_cumulative,1620179_000104746918002690,dividend_cumulative,cumulative,by-name,verified-present,1,272,1,1,quote present,
dividend_cumulative,1725255_000110465920135025,dividend_cumulative,cumulative,by-name,verified-present,1,288,1,1,quote present,
dividend_cumulative,1445499_000095012321001942,dividend_cumulative,non-cumulative,by-name,verified-present,1,268,1,1,quote present,
dividend_cumulative,1447599_000119312515209758,dividend_cumulative,non-cumulative,by-name,verified-present,1,277,1,1,quote present,
dividend_cumulative,1477449_000155837016008265,dividend_cumulative,non-cumulative,by-name,verified-present,1,259,1,1,quote present,
dividend_cumulative,1722271_000091205720000111,dividend_cumulative,non-cumulative,by-name,verified-present,1,266,1,1,quote present,
dividend_cumulative,1585521_000119312519083351,dividend_cumulative,non-cumulative,by-name,verified-present,1,262,1,1,quote present,
dividend_cumulative,1053148_000095014401503351,dividend_cumulative,non-cumulative,by-name,verified-present,1,286,1,1,quote present,
dividend_cumulative,1305253_000119312516625139,dividend_cumulative,non-cumulative,by-name,verified-present,1,277,1,1,quote present,
dividend_cumulative,1604950_000119312517316695,dividend_cumulative,non-cumulative,by-name,verified-present,1,255,1,1,quote present,
antidilution_type,1082733_000165495426003578,antidilution_type,weighted-average,by-name,verified-present,1,130,1,1,quote present,
antidilution_type,1093207_000114420414015857,antidilution_type,full-ratchet,by-name,verified-present,1,122,1,1,quote present,
antidilution_type,1103078_000119312505072191,antidilution_type,weighted-average,by-name,verified-present,1,126,1,1,quote present,
antidilution_type,1161315_000095012314003249,antidilution_type,full-ratchet,by-name,verified-present,1,122,1,1,quote present,
antidilution_type,1879403_000157587223000626,antidilution_type,none,by-name,verified-present,1,133,1,1,quote present,
antidilution_base,1082733_000165495426003578,antidilution_base,broad-based,by-name,verified-present,1,160,1,1,quote present,
antidilution_base,1103078_000119312505072191,antidilution_base,broad-based,by-name,verified-present,1,168,1,1,quote present,
antidilution_base,1090908_000143774913006947,antidilution_base,broad-based,by-name,verified-present,1,211,1,1,quote present,
antidilution_base,1108699_000101968704002883,antidilution_base,narrow-based,by-name,verified-present,1,160,1,1,quote present,
antidilution_base,1627480_000121390015005091,antidilution_base,narrow-based,by-name,verified-present,1,161,1,1,quote present,
antidilution_base,1752234_000114420418064195,antidilution_base,narrow-based,by-name,verified-present,1,161,1,1,quote present,
antidilution_base,1800315_000095012320009492,antidilution_base,narrow-based,by-name,verified-present,1,160,1,1,quote present,
antidilution_base,1093207_000114420414015857,antidilution_base,n/a,by-name,verified-present,1,152,1,1,quote present,
antidilution_base,1161315_000095012314003249,antidilution_base,n/a,by-name,verified-present,1,152,1,1,quote present,
antidilution_base,763901_000095012310045398,antidilution_base,n/a,by-name,verified-present,1,156,1,1,quote present,
conversion_ratio,loop_industries_1to1,conversion_ratio,1,by-content,verified-present,1,179,1,1,quote present,
conversion_ratio,precom_2to1,conversion_ratio,2,by-content,verified-present,1,153,1,1,quote present,
conversion_ratio,air_defense_100to1,conversion_ratio,100,by-content,verified-present,1,159,1,1,quote present,
conversion_ratio,boston_life_sciences_8000to1,conversion_ratio,8000,by-content,verified-present,1,153,1,1,quote present,
conversion_ratio,uwink_4p57to1,conversion_ratio,4.57,by-content,verified-present,1,145,1,1,quote present,
auto_conversion_trigger,silicon_energy_30m,auto_conversion_trigger,30000000,by-content,verified-present,1,172,1,1,quote present,
auto_conversion_trigger,elastic_bv_30m,auto_conversion_trigger,30000000,by-content,verified-present,1,218,1,1,quote present,
auto_conversion_trigger,asana_100m,auto_conversion_trigger,100000000,by-content,verified-present,1,182,1,1,quote present,
auto_conversion_trigger,filename2_30m,auto_conversion_trigger,30000000,by-prefix,verified-present,1,146,1,1,quote present,
auto_conversion_trigger,terrascend_30m,auto_conversion_trigger,30000000,by-content,verified-present,1,151,1,1,quote present,
redemption_rights,1725255_000110465920135025,redemption_rights,yes,by-name,verified-present,1,145,1,1,quote present,
redemption_rights,1780201_000119312521296901,redemption_rights,yes,by-name,verified-present,1,144,1,1,quote present,
redemption_rights,1469166_000095012314005342,redemption_rights,yes,by-name,verified-present,1,183,1,1,quote present,
redemption_rights,1660280_000095012318006158,redemption_rights,yes,by-name,verified-present,1,177,1,1,quote present,
redemption_rights,1478121_000119312514227132,redemption_rights,yes,by-name,verified-present,1,161,1,1,quote present,
redemption_rights,1781983_000104746919005375,redemption_rights,no,by-name,verified-present,1,116,1,1,quote present,
redemption_rights,1447599_000119312515209758,redemption_rights,no,by-name,verified-present,1,167,1,1,quote present,
redemption_rights,1556898_000119312517274422,redemption_rights,no,by-name,verified-present,1,172,1,1,quote present,
redemption_rights,1888780_000157587222000105,redemption_rights,no,by-name,verified-present,1,146,1,1,quote present,
redemption_rights,1411057_000168316822006041,redemption_rights,no,by-name,verified-present,1,172,1,1,quote present,
safe_valuation_cap,1657493_000121390021028831_cap,safe_valuation_cap,15000000,by-prefix,verified-present,1,117,1,1,quote present,
safe_valuation_cap,1486452_000168316824001414_cap,safe_valuation_cap,20000000,by-prefix,verified-present,1,120,1,1,quote present,
safe_valuation_cap,2036444_000121390025123767_cap,safe_valuation_cap,30000000,by-prefix,verified-present,1,123,1,1,quote present,
safe_valuation_cap,746210_000143774926019366_cap,safe_valuation_cap,40000000,by-prefix,verified-present,1,122,1,1,quote present,
safe_valuation_cap,1838987_000121390024014892_cap,safe_valuation_cap,53540000,by-prefix,verified-present,1,125,1,1,quote present,
safe_valuation_cap,1900520_000121390024095442_cap,safe_valuation_cap,100000000,by-prefix,verified-present,1,121,1,1,quote present,
safe_valuation_cap,2010788_000149315224005725_cap,safe_valuation_cap,100000000,by-prefix,verified-present,1,150,1,1,quote present,
safe_valuation_cap,1811623_000110465922070160_cap,safe_valuation_cap,150000000,by-prefix,verified-present,1,121,1,1,quote present,
safe_discount_rate,manako_20,safe_discount_rate,20,by-content,verified-present,1,150,1,1,quote present,
safe_discount_rate,eighty_20,safe_discount_rate,20,by-content,verified-present,1,127,1,1,quote present,
safe_discount_rate,80pct_20,safe_discount_rate,20,by-content,verified-present,1,141,1,1,quote present,
safe_discount_rate,ninety_10,safe_discount_rate,10,by-content,verified-present,1,111,1,1,quote present,
safe_discount_rate,50pct_2,safe_discount_rate,50,by-content,verified-present,1,110,1,1,quote present,
safe_discount_rate,80pct_2,safe_discount_rate,20,by-content,verified-present,1,112,1,1,quote present,
safe_discount_rate,fifty_50_1,safe_discount_rate,50,by-content,verified-present,1,119,1,1,quote present,
safe_discount_rate,85pct_15,safe_discount_rate,15,by-content,verified-present,1,110,1,1,quote present,
safe_discount_rate,sos_50,safe_discount_rate,50,by-content,verified-present,1,122,1,1,quote present,
safe_cap_vs_discount_applies,snm_discount_only,safe_cap_vs_discount_applies,discount,by-content,verified-present,1,149,1,1,quote present,
safe_cap_vs_discount_applies,parker_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,197,1,1,quote present,
safe_cap_vs_discount_applies,sos_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,198,1,1,quote present,
safe_cap_vs_discount_applies,maison_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,196,1,1,quote present,
safe_cap_vs_discount_applies,rentberry_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,196,1,1,quote present,
safe_cap_vs_discount_applies,paxmedica_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,197,1,1,quote present,
safe_cap_vs_discount_applies,creci_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,196,1,1,quote present,
safe_cap_vs_discount_applies,complete_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,193,1,1,quote present,
safe_cap_vs_discount_applies,lomond_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,197,1,1,quote present,
safe_cap_vs_discount_applies,neo_aero_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,197,1,1,quote present,
safe_cap_vs_discount_applies,taoweave_both_mfn,safe_cap_vs_discount_applies,both-mfn,by-content,verified-present,1,204,1,1,quote present,
safe_cap_vs_discount_applies,gardedam_cap_only,safe_cap_vs_discount_applies,cap,by-content,verified-present,1,204,1,1,quote present,
safe_cap_vs_discount_applies,flowhub_cap_only,safe_cap_vs_discount_applies,cap,by-content,verified-present,1,209,1,1,quote present,
safe_pre_post,1821951_000121390022000982,safe_cap_type,post-money,by-name,verified-present,1,200,1,1,quote present,
safe_pre_post,1851491_000157587226000456,safe_cap_type,post-money,by-name,verified-present,1,184,1,1,quote present,
safe_pre_post,1386049_000109690621002893,safe_cap_type,post-money,by-name,verified-present,1,256,1,1,quote present,
safe_pre_post,1777274_000121390020033888,safe_cap_type,post-money,by-name,verified-present,1,252,1,1,quote present,
safe_pre_post,2084032_000121390026025748,safe_cap_type,post-money,by-name,verified-present,1,186,1,1,quote present,
safe_pre_post,1900520_000121390024095442,safe_cap_type,post-money,by-name,verified-present,1,252,1,1,quote present,
safe_pre_post,746210_000143774926019366,safe_cap_type,post-money,by-name,verified-present,1,255,1,1,quote present,
safe_pre_post,1811623_000110465922070160,safe_cap_type,post-money,by-name,verified-present,1,253,1,1,quote present,
safe_pre_post,1486452_000168316824001414,safe_cap_type,post-money,by-name,verified-present,1,253,1,1,quote present,
safe_pre_post,1937891_000149315226027213,safe_cap_type,post-money,by-name,verified-present,1,250,1,1,quote present,
safe_pre_post,2036444_000121390025123767,safe_cap_type,pre-money,by-name,verified-present,1,253,1,1,quote present,
safe_pre_post,1657493_000121390021028831,safe_cap_type,pre-money,by-name,verified-present,1,250,1,1,quote present,
safe_pre_post,1838987_000121390024014892,safe_cap_type,pre-money,by-name,verified-present,1,257,1,1,quote present,
safe_pre_post,2010788_000149315224005725,safe_cap_type,pre-money,by-name,verified-present,1,252,1,1,quote present,
safe_pre_post,837852_000110465921011524,safe_cap_type,pre-money,by-name,verified-present,1,252,1,1,quote present,
safe_pre_post,1158780_000121390025023733,safe_cap_type,pre-money,by-name,verified-present,1,254,1,1,quote present,
safe_mfn_present,d715014dex1026_htm,safe_mfn_present,yes,by-name,verified-present,1,169,1,1,quote present,
safe_mfn_present,0001477932-18-004207_mblc_ex103,safe_mfn_present,yes,by-name,verified-present,1,163,1,1,quote present,
safe_mfn_present,0001477932-18-004955_mblc_ex103,safe_mfn_present,yes,by-name,verified-present,1,163,1,1,quote present,
safe_mfn_present,0001493152-22-033890_ex10-3,safe_mfn_present,yes,by-name,verified-present,1,163,1,1,quote present,
safe_mfn_present,0001424884-15-000185_exhibit10-11,safe_mfn_present,no,by-name,verified-present,1,106,1,1,quote present,
safe_mfn_present,0001493152-22-024010_ex3-3,safe_mfn_present,no,by-name,verified-present,1,118,1,1,quote present,
safe_mfn_present,0001721868-21-000866_filename15,safe_mfn_present,no,by-name,verified-present,1,124,1,1,quote present,
safe_pro_rata_side_letter,0000721748-17-000529_s1safe,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0000721748-17-000577_s1safe,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001424884-15-000185_exhibit10-11,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001477932-18-004207_mblc_ex103,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001477932-18-004955_mblc_ex103,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001493152-22-024010_ex3-3,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001493152-22-033890_ex10-3,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001721868-21-000866_filename15,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001903596-22-000170_f2ssos102121ex4_13,safe_pro_rata_side_letter,yes,by-name,verified-present,1,135,1,1,quote present,
safe_pro_rata_side_letter,0001193125-26-035812_filename4,safe_pro_rata_side_letter,no,by-name,verified-present,2,63,1,1,all 1 span(s) present; 1 sub-40-char connective span(s) not required,
safe_pro_rata_side_letter,0001193125-26-153091_rea-ex4_2,safe_pro_rata_side_letter,no,by-name,verified-present,1,131,1,1,quote present,
safe_pro_rata_side_letter,0001117768-17-001842_mainbody,safe_pro_rata_side_letter,no,by-name,verified-present,1,109,1,1,quote present,
safe_pro_rata_side_letter,0001575872-26-000442_amass027_8k,safe_pro_rata_side_letter,no,by-name,verified-present,1,118,1,1,quote present,
safe_pro_rata_side_letter,0001437749-26-019366_twav20260603_8k,safe_pro_rata_side_letter,no,by-name,verified-present,1,126,1,1,quote present,
safe_pro_rata_side_letter,0001104659-21-005324_tm213128d1_ex99-1,safe_pro_rata_side_letter,no,by-name,verified-present,1,114,1,1,quote present,
note_principal,0007217481400043_acology,note_principal,400000,by-content,verified-present,1,186,1,1,quote present,
note_principal,0008929170200000_gardenburger,note_principal,17364375,by-content,verified-present,1,230,1,1,quote present,
note_principal,0001213900170072_minerco_ciarello,note_principal,12500,by-content,verified-present,1,178,1,1,quote present,
note_principal,0001213900170072_minerco_schmidt,note_principal,12500,by-content,verified-present,1,174,1,1,quote present,
note_principal,0001213900170072_minerco_msf,note_principal,350000,by-content,verified-present,1,210,1,1,quote present,
note_principal,0001213900170072_minerco_rios,note_principal,100000,by-content,verified-present,1,171,1,1,quote present,
note_principal,0001213900170072_minerco_pacific_isle,note_principal,250000,by-content,verified-present,1,208,1,1,quote present,
note_interest_rate,acology_0p28,note_interest_rate,0.28,by-content,verified-present,1,228,1,1,quote present,
note_interest_rate,smartserv_10p00,note_interest_rate,10.0,by-content,verified-present,1,186,1,1,quote present,
note_interest_rate,veritasfarms_10p00,note_interest_rate,10.0,by-content,verified-present,1,197,1,1,quote present,
note_interest_rate,greenfieldrobotics_8p00,note_interest_rate,8.0,by-content,verified-present,1,216,1,1,quote present,
note_interest_rate,lanzatech_8p00,note_interest_rate,8.0,by-content,verified-present,1,218,1,1,quote present,
note_interest_rate,xtiaero_10p00,note_interest_rate,10.0,by-content,verified-present,1,193,1,1,quote present,
note_maturity_date,gardenburger_2005_03_31,note_maturity_date,2005-03-31,by-content,verified-present,1,269,1,1,quote present,
note_maturity_date,acology_2015_03_04,note_maturity_date,2015-03-04,by-content,verified-present,1,279,1,1,quote present,
note_maturity_date,xtiaero_2026_12_31,note_maturity_date,2026-12-31,by-content,verified-present,1,149,1,1,quote present,
note_maturity_date,veritasfarms_2026_10_01,note_maturity_date,2026-10-01,by-content,verified-present,1,270,1,1,quote present,
note_valuation_cap,damon_tranche_19to22,note_valuation_cap,125000000,by-content,verified-present,1,164,1,1,quote present,
note_valuation_cap,realpha_cap_definition,note_valuation_cap,25000000,by-content,verified-present,1,155,1,1,quote present,
note_valuation_cap,exyn_technologies,note_valuation_cap,90000000,by-content,verified-present,1,121,1,1,quote present,
note_valuation_cap,greenfield_robotics,note_valuation_cap,30000000,by-content,verified-present,1,144,1,1,quote present,
note_discount,greenfield_robotics_20pct,note_discount,20.0,by-content,verified-present,1,268,1,1,quote present,
note_discount,exyn_technologies_25pct,note_discount,25.0,by-content,verified-present,1,229,1,1,quote present,
note_discount,acology_50pct,note_discount,50.0,by-content,verified-present,1,166,1,1,quote present,
note_discount,hepalife_5pct_vwap,note_discount,5.0,by-content,verified-present,1,160,1,1,quote present,
note_qualified_financing_threshold,lanzatech_40m,note_qualified_financing_threshold,40000000,by-content,verified-present,1,255,1,1,quote present,
note_qualified_financing_threshold,xtiaero_10m,note_qualified_financing_threshold,10000000,by-content,verified-present,1,179,1,1,quote present,
current_ownership_pct,uber_garrett_camp,current_ownership_pct,6.0,unresolved,not-checkable,1,111,,0,"the quote not found: 'Garrett Camp (through Expa-1, LLC and RMG-Trust LLC): 81,575'",validating quote not inside the window the model is shown
current_ownership_pct,uber_matt_cohler_benchmark,current_ownership_pct,11.0,unresolved,not-checkable,1,126,,0,the quote not found: 'Entities affiliated with Benchmark Capital Partners (Matt Co',validating quote not inside the window the model is shown
current_ownership_pct,uber_ryan_graves,current_ownership_pct,2.4,unresolved,not-checkable,1,70,,0,"the quote not found: 'Ryan Graves: 33,184 thousand shares of 1,362,500 thousand to'",validating quote not inside the window the model is shown
